NAME	DESCRIPTION	Naive WT 1	Naive WT 2	Naive KO 1	Naive KO 2	Activated WT	Activated KO	Memory WT	Memory KO	WT Foxp3+	KO Foxp3+
BC038311	231430	1541.302562	1287.446968	1203.039312	1041.191174	2354.266562	2332.889516	996.103048	834.615364	820.063042	611.545768
Arfgef1	211673	4902.56882	2834.467584	3989.39957	3444.20642	4844.25312	5036.8803	2929.291036	2710.38468	2850.709844	2930.57353
Zranb1	360216	941.656808	1153.788242	806.764946	920.063312	459.510918	538.4680744	832.706904	479.3846762	473.61554	399.931742
Ddx24	27225	1416.922548	1627.42613	1905.468106	2036.98505	2954.668152	2799.404016	1931.78073	1130.230934	1337.285672	1001.01946
2610209M04Rik	66618	1682.61237	5125.02614	2262.267912	4844.09846	3234.83378	3645.837772	4160.637198	4494.61533	3312.510618	3261.409178
0610039G24Rik	68366	877.0776	410.15499	946.895342	344.654778	1645.288398	1562.50223	419.1677978	328.38462	406.3004558	374.9766258
Rps27	57294	27533.86672	91657.7986	25507.40558	89771.5608	18794.87446	19578.98438	59698.89024	53767.8561	33187.7568	30356.946
4931406I20Rik	66743	1390.844948	1262.493428	1682.199228	1971.637056	1362.698604	1128.106246	1095.845798	1019.153974	880.84864	710.933688
2310079P12Rik	50724	1371.457466	1884.89655	1650.212802	1893.870752	1310.188056	1503.14461	1830.630944	1670.538604	1341.094452	1218.115184
Armc1	74252	1786.9224	1814.91216	1347.48524	1435.416628	1496.15716	1399.38699	1246.991242	1075.923074	649.132329	598.779843
Mad2l1bp	66591	1627.863544	1651.041306	1653.639742	1381.469	1469.98262	1535.106172	838.666642	1224.3078	845.170206	747.356784
1200013P24Rik	74763	2012.199194	2005.170822	1864.215992	1896.618964	1437.183304	1216.276728	1901.568306	1482.077106	1488.939052	1259.875382
1110059P08Rik	66201	4008.56076	2429.284062	3118.91574	2262.95478	6735.29426	5900.79108	2167.604152	1603.923138	1688.863298	1468.460218
Eif5	217869	15600.75252	9300.00328	12022.01558	9495.51572	15740.51484	14967.83348	7263.00898	5416.61574	5957.1554	4940.113164
Cdc42	12540	13176.77596	5825.25188	10904.40394	5972.32096	15036.22132	14234.60966	5477.737224	5232.84636	6741.4629	5511.412404
Rrn3	106298	1202.431698	936.663954	1032.953642	1188.885702	2333.26218	2174.34015	601.436184	418.0769268	572.489604	525.789462
Ankrd17	81702	3986.442604	2691.152376	3849.65057	2961.93362	4129.2962	4522.66022	2268.919476	2263.846184	2054.04427	2126.093482
Apoa1bp	246703	3577.12189	1812.999852	2695.35158	1975.097592	2547.021984	2268.335838	2166.362654	1551.692162	1618.128104	1327.023426
Pabpn1	54196	1308.653	1584.30744	611.928052	1590.643616	752.441176	816.046766	882.040188	1201.2309	1806.937328	1262.471746
Pdpk1	18607	2206.48316	2709.22214	2053.849502	2796.93545	1997.353832	2027.75762	2087.313264	2390.61514	2112.342284	2072.79328
5730453I16Rik	269061	4024.807978	2370.772632	3594.775922	2322.806202	2264.271018	2254.79554	1818.711542	1339.153876	2083.737214	2104.023278
Angel2	52477	724.708344	1242.416044	650.895342	1082.517325	640.471628	511.22974	908.610665	833.615476	1014.623916	820.70773
Bat5	193742	1441.498244	916.204138	1258.254042	1062.77024	819.00869	784.872268	1052.389224	816.230878	715.203784	618.181274
1110019J04Rik	68512	1341.693926	3290.514192	1839.338006	4046.691258	5496.358584	6167.81971	2390.348962	2527.538228	1892.829794	2045.8188
Rab7	19349	10776.5571	4223.54482	8866.6726	4433.179642	13971.7809	11522.58662	4513.42021	3904.154308	4188.2298	3905.122598
Ddb1	13194	2962.18448	1188.398042	2341.344534	1351.7469	7843.03282	6965.76282	1179.36464	758.153902	913.418038	837.224234
Pfdn5	56612	1159.151281	16525.03916	1576.59368	20641.5193	798.650698	855.566022	12301.0496	13493.6928	10103.02316	8158.67982
Rfk	54391	2351.752782	1008.082686	2128.864412	1221.152736	2822.663992	2334.778588	1018.286398	997.538426	1202.111574	1201.309858
Txndc12	66073	1142.084809	1380.950778	934.202418	1237.031508	2203.03476	2043.187064	1104.454292	1063.15393	1512.413924	1239.391886
3100004P22Rik	68035	2750.970572	2813.33829	2842.844162	3069.829616	2366.707516	2615.191376	2471.38503	1791.076834	1738.455878	1665.216524
Psmc5	19184	3910.530962	2881.69764	2475.76324	3353.71626	6328.4541	6940.8855	2696.77867	2433.00012	2830.26653	2463.27685
Tparl	21982	6123.703796	2589.90454	4560.075582	2581.042744	11342.68004	11760.17472	2221.986308	1735.53828	2451.405252	2460.75234
Aup1	11993	2591.09224	2253.08022	2519.681056	2718.355072	3350.358288	3277.412936	2116.615414	1774.538574	1914.361722	1746.14026
Hdac5	15184	1560.826426	985.04138	978.881694	875.480014	876.85153	480.212788	618.81871	565.3846938	468.8739456	474.003966
H2-Ke2	14976	2982.390772	4056.232818	2831.547544	4516.341878	6131.01396	5499.9316	2988.47446	3022.15408	2230.96014	1961.504902
Dscr3	13185	3480.047432	1781.64065	3515.825396	1848.371482	3250.82962	3127.68104	1379.09841	1427.384816	1465.542102	1263.337102
