"Cycles" "Fluorescence"
"1" 1 -12.9433003366989
"2" 2 -7.92696248147558
"3" 3 11.9751009219808
"4" 4 9.03990128605392
"5" 5 4.93321191759878
"6" 6 -1.00833953955362
"7" 7 -4.38991310512938
"8" 8 -2.12389700483482
"9" 9 -4.13104436017829
"10" 10 -7.99493516601069
"11" 11 -3.32528970996373
"12" 12 -4.21301267833633
"13" 13 -7.64657061749767
"14" 14 -0.964811282104165
"15" 15 8.17088192449637
"16" 16 20.8745321610008
"17" 17 58.8066483460311
"18" 18 128.714410075828
"19" 19 250.636071582435
"20" 20 465.778117346131
"21" 21 806.266123921364
"22" 22 1266.9818553057
"23" 23 1800.29291395816
"24" 24 2333.74158317696
"25" 25 2827.26615464876
"26" 26 3324.72162099541
"27" 27 3758.20638947243
"28" 28 4166.43222832509
"29" 29 4496.01791070546
"30" 30 4777.16985529043
"31" 31 5014.54185161765
"32" 32 5214.8019492202
"33" 33 5392.94358788556
"34" 34 5520.36120782478
"35" 35 5620.99889104335
"36" 36 5704.08613484038
"37" 37 5769.93330410714
"38" 38 5838.38030211794
"39" 39 5874.87965041367
"40" 40 5904.42269442243
