"Undiluted1" "Undiluted2" "Undiluted3" "5xs1" "5xs2" "5xs3" "25xs1" "25xs2" "25xs3" "125xs1" "125xs2"
"1" -12.9433003366989 -36.8723067423657 -54.8242491859546 17.3399720788589 7.41751670161057 24.3621377128311 27.8941761070896 17.4537141913811 26.0936491732368 23.3078744063396 23.1790127145018
"2" -7.92696248147558 -31.0641155650042 -27.5354159179719 1.81899901454517 7.33328898406535 16.3922954369518 19.3647548408308 12.0651247632368 19.4146900271371 15.4654876631639 18.6837958100832
"3" 11.9751009219808 -6.70329181440866 -0.493757119873408 6.2772737661312 8.48264526855883 9.69506166289875 13.2223083174199 17.1553511600123 12.2591345308742 9.49850561049107 14.4476463126575
"4" 9.03990128605392 -2.14668946755091 8.54397666396744 4.91437316754354 9.51407781260605 11.5091391719875 7.61708624319544 9.5268468527288 10.7766882204742 10.4517426604766 8.02717822673685
"5" 4.93321191759878 4.00990985314502 3.24756765679331 6.80828591197269 5.29963898421647 6.87122913549956 6.6887898255859 7.08986526340186 5.26258933080408 2.15875331821053 11.0289218751041
"6" -1.00833953955362 8.00298134209061 8.42504503044438 5.38347816329315 4.95482196962166 4.20856449374241 1.38934978063344 4.82455684572642 7.22571826254625 4.45457847651869 -0.799377526276658
"7" -4.38991310512938 10.353916916803 1.62148296013856 3.24595017112779 -0.739788379954916 3.86778877059032 1.06368163268507 -2.52802617449015 -0.2214360869134 3.22660334983993 2.98628826246068
"8" -2.12389700483482 7.68797075015846 4.84090755447505 4.47290298361258 1.88086494360869 -1.60718796009633 0.0309711680433793 3.87329040421037 3.27491400316194 -5.59235016431921 0.0735961211980793
"9" -4.13104436017829 10.9901059070971 1.95794357937029 1.97602982308081 -1.48090194238694 0.542936928520703 -0.0324844659799055 -0.550465126249946 -0.113656230506422 -1.42147513486498 -1.3408038388452
"10" -7.99493516601069 -0.172002404094656 -2.29352065224384 -0.943542665454061 -7.69604389764754 -3.22016237258322 -3.1488666147161 -3.3767588694609 -6.6606770041044 1.61299150734749 -4.10236786757287
"11" -3.32528970996373 1.38911159246709 -4.76343758264466 -3.40033364277269 -2.76801830895056 -5.44373313463211 -5.47571554049728 -6.37471898189051 -4.58956202993795 -1.28936590646481 -2.75307504762714
"12" -4.21301267833633 2.60863259451207 -7.48293333937181 -9.14620746515129 -4.79421696143345 -6.8446709884297 -3.6293682925193 -7.82404174682779 -5.75221036593848 -3.54977834596912 -6.14699593155046
"13" -7.64657061749767 -5.11504808291375 -4.64359886527836 -10.4269381691774 -6.00833641193003 -8.92925321746543 -5.19936143159202 -8.3707339154289 -3.10857225701056 -5.80079075790309 -4.11899033269583
"14" -0.964811282104165 -3.72358979011369 -4.6825073271807 -9.95242086627968 -6.30670192692151 -9.44257930682306 -4.86717215638782 -8.85167988722833 -8.62345567490229 -3.83410076352266 -4.94048852948754
"15" 8.17088192449637 7.68953541935844 6.90238493055085 -6.27399907291283 -7.73579574232326 -10.2340604004635 -5.90536933999238 -7.93315445049757 -7.50990322571761 -6.5649059789007 -5.31031312429241
"16" 20.8745321610008 22.6958121229736 19.4674176750382 -3.51925352189437 0.827068160473573 -6.15382169903432 -5.89303971762911 -6.78863360379773 -8.62772717145299 -1.52836921154903 -10.7081926345536
"17" 58.8066483460311 58.8194315735786 58.8759966409425 7.0535926769785 8.13109984478615 -0.273994483944534 -7.85121799540821 -14.5521860762801 -11.9794356618304 -0.409198042747903 -6.79258362247992
"18" 128.714410075828 129.625392460181 128.317492039545 32.5053858423653 26.1372368102475 9.4646895891342 -4.82299109998803 -9.00225284977751 -8.8091258190052 -4.79979727788486 -6.52508327341593
"19" 250.636071582435 251.57867281153 247.85503320212 81.6494337646122 76.3734239829514 36.1296715869953 0.957659179517123 -5.32373129973348 -5.84239042400213 -7.30552272403247 -8.45565486529313
"20" 465.778117346131 480.639371142252 469.481383791255 171.950533889511 154.235189239408 87.9991118600342 13.8495423162612 2.12879051900836 0.412828473416994 -4.85445153103365 -4.99895512738658
"21" 806.266123921364 833.855416511355 822.424724083476 329.963064923258 297.15787610669 181.728887206046 26.1758377064352 15.50964914216 16.2599780833079 -1.80827428059456 -1.80927222443643
"22" 1266.9818553057 1328.39076641286 1323.4900008748 606.828970858856 550.432546368187 348.912449128941 67.5228185601659 39.0558112664389 36.1787294085684 -3.71699464058429 0.376887120919037
"23" 1800.29291395816 1889.30301167752 1934.04046449721 1032.11203857293 960.50335408217 641.869111960256 126.597777672806 79.9341892869925 90.0207557002432 8.99778856192324 10.6029703889371
"24" 2333.74158317696 2460.95761326392 2553.07914568058 1632.15904490314 1540.57488822396 1098.43723157613 248.180526078128 159.657375936409 174.640676530856 28.4598475964358 35.8047866953229
"25" 2827.26615464876 2993.65279811971 3131.96763083869 2337.27419474257 2279.79294936997 1743.94591724567 472.171280110751 307.019215500058 335.21685173073 49.7517797968326 70.4786286324638
"26" 3324.72162099541 3534.06063597328 3712.88808053645 3032.29891243195 3023.20941285542 2513.61629099686 827.363752654466 556.69002644513 607.386680668034 105.889534104368 144.740030192049
"27" 3758.20638947243 4000.43983654043 4221.74086162763 3673.16138618258 3721.8688824957 3250.56359911897 1383.12251460786 966.712188545523 1040.51692460763 205.347916507537 281.332449579319
"28" 4166.43222832509 4442.86537726542 4705.00510832285 4289.89638776887 4398.45956851334 3965.94452192028 2130.66829504698 1543.23115288574 1641.579114923 377.010078207234 508.500957549549
"29" 4496.01791070546 4796.85664060853 5093.19663685157 4816.60810458126 4977.13899429819 4599.13816691178 2878.01640597091 2272.97000105966 2377.2329932956 661.105736842332 885.840084508487
"30" 4777.16985529043 5103.01346782016 5427.39339640998 5283.51449919458 5493.4927189399 5180.90769387025 3608.3708729517 2982.90310300696 3085.02358851856 1101.7119566933 1426.90215333641
"31" 5014.54185161765 5361.87683469313 5706.65877209456 5680.38099309519 5936.85076596835 5683.84803241695 4300.85590644118 3683.59459617339 3775.89134267115 1706.67381776586 2110.67888551935
"32" 5214.8019492202 5579.35558559882 5937.73562197215 6012.55153481304 6306.7336243723 6115.35570332502 4916.71640182317 4307.85238170886 4387.25152421341 2398.81186158724 2763.10552034029
"33" 5392.94358788556 5772.69859372452 6141.72105308005 6305.42774125786 6632.64554529296 6478.98777319938 5489.63875654396 4897.60305504621 4962.66012408981 3085.84679771216 3403.19069033151
"34" 5520.36120782478 5913.59767754926 6288.69134927371 6519.98391346157 6866.32631086768 6763.64225536606 5939.35984649797 5374.17762378871 5422.82848776702 3707.65999268186 3963.16088476306
"35" 5620.99889104335 6027.44243803266 6407.32364309375 6695.90673719094 7058.84236701617 6991.01265869386 6325.4746563499 5789.46743258466 5820.06279332403 4274.54311258982 4474.7193944382
"36" 5704.08613484038 6118.57332392209 6495.17433705652 6829.48843713627 7209.00188144289 7178.36246704001 6637.99978637605 6120.29828700782 6134.55744285739 4770.11148265998 4913.7824603186
