,"PROBEID","ENTREZID","SYMBOL"
170,"38739_at",2114,"ETS2"
171,"35260_at",22877,"MLXIP"
172,"34933_at",5083,"PAX9"
173,"40328_at",7291,"TWIST1"
174,"1248_at",5437,"POLR2H"
175,"32874_at",6929,"TCF3"
176,"1684_s_at",7490,"WT1"
177,"958_s_at",5438,"POLR2I"
178,"1881_at",2122,"MECOM"
179,"31378_at",5309,"PITX3"
180,"33329_at",4782,"NFIC"
181,"36393_at",8193,"DPF1"
182,"35629_at",57591,"MKL1"
183,"33654_at",129025,"ZNF280A"
184,"32674_at",27332,"ZNF638"
185,"783_at",11059,"WWP1"
186,"38317_at",9338,"TCEAL1"
187,"414_at",3236,"HOXD10"
188,"38476_at",29890,"RBM15B"
189,"41460_at",10432,"RBM14"
190,"510_g_at",4089,"SMAD4"
191,"1318_at",5928,"RBBP4"
192,"1866_g_at",6498,"SKIL"
193,"33474_at",2735,"GLI1"
194,"41699_f_at",23774,"BRD1"
195,"1774_at",4084,"MXD1"
196,"35640_at",862,"RUNX1T1"
197,"32554_s_at",6907,"TBL1X"
198,"33714_at",3149,"HMGB3"
199,"35808_at",6431,"SRSF6"
200,"37618_at",3217,"HOXB7"
201,"32986_s_at",4093,"SMAD9"
202,"33617_s_at",7597,"ZBTB25"
203,"1875_f_at",5387,"PMS2P3"
204,"1476_s_at",4602,"MYB"
205,"33621_at",6928,"HNF1B"
206,"38211_at",26137,"ZBTB20"
207,"40445_at",1999,"ELF3"
208,"319_g_at",8971,"H1FX"
209,"36648_at",9443,"MED7"
210,"39147_g_at",546,"ATRX"
211,"31507_at",8085,"KMT2D"
212,"41867_at",90993,"CREB3L1"
213,"37305_at",2146,"EZH2"
214,"35388_at",3975,"LHX1"
215,"34216_at",8609,"KLF7"
216,"33828_at",6605,"SMARCE1"
217,"1454_at",4088,"SMAD3"
218,"33352_at",8349,"HIST2H2BE"
219,"31797_at",9519,"TBPL1"
220,"33044_f_at",2016,"EMX1"
221,"582_g_at",7181,"NR2C1"
222,"33373_at",NA,NA
223,"39421_at",861,"RUNX1"
224,"669_s_at",3659,"IRF1"
225,"35251_at",3096,"HIVEP1"
226,"40118_at",7551,"ZNF3"
227,"38506_at",6928,"HNF1B"
228,"1535_at",1112,"FOXN3"
229,"1039_s_at",3091,"HIF1A"
230,"1057_at",1382,"CRABP2"
231,"37431_at",9063,"PIAS2"
232,"36618_g_at",3397,"ID1"
233,"39358_at",9612,"NCOR2"
234,"147_at",7251,"TSG101"
235,"40449_at",5981,"RFC1"
236,"1980_s_at",4831,"NME2"
237,"39766_r_at",5440,"POLR2K"
238,"32995_at",51666,"ASB4"
239,"35440_g_at",7536,"SF1"
240,"40957_at",23512,"SUZ12"
241,"35705_at",9975,"NR1D2"
242,"192_at",6879,"TAF7"
243,"38535_at",1748,"DLX4"
244,"35026_f_at",10793,"ZNF273"
245,"33354_at",64750,"SMURF2"
246,"459_s_at",274,"BIN1"
247,"41216_r_at",3398,"ID2"
248,"39416_at",30851,"TAX1BP3"
249,"34626_at",3090,"HIC1"
250,"37104_at",5468,"PPARG"
251,"32063_at",5087,"PBX1"
252,"31980_at",8456,"FOXN1"
253,"463_g_at",4781,"NFIB"
254,"37194_at",2624,"GATA2"
255,"1581_s_at",7155,"TOP2B"
256,"38426_at",6882,"TAF11"
257,"32303_at",2117,"ETV3"
258,"2094_s_at",2353,"FOS"
259,"40733_f_at",4488,"MSX2"
260,"1882_g_at",2122,"MECOM"
261,"37583_at",8284,"KDM5D"
262,"1728_at",648,"BMI1"
263,"33876_at",25937,"WWTR1"
264,"35022_at",6660,"SOX5"
265,"33566_at",169841,"ZNF169"
266,"41854_at",4602,"MYB"
267,"38290_at",10636,"RGS14"
268,"35838_at",57862,"ZNF410"
269,"34652_at",4861,"NPAS1"
270,"38456_s_at",6628,"SNRPB"
271,"38794_at",7343,"UBTF"
272,"39609_at",6493,"SIM2"
273,"41808_at",9988,"DMTF1"
274,"36006_at",6666,"SOX12"
275,"1049_g_at",6258,"RXRG"
276,"38603_at",7695,"ZNF136"
277,"34357_g_at",9412,"MED21"
278,"31912_at",8928,"FOXH1"
279,"1936_s_at",4609,"MYC"
280,"2026_at",861,"RUNX1"
281,"32996_g_at",51666,"ASB4"
282,"40231_at",4091,"SMAD6"
283,"782_at",10623,"POLR3C"
284,"982_at",4174,"MCM5"
285,"33196_at",4798,"NFRKB"
286,"39539_at",51341,"ZBTB7A"
287,"1503_at",675,"BRCA2"
288,"1905_s_at",5925,"RB1"
289,"35205_at",25920,"NELFB"
290,"34062_at",2116,"ETV2"
291,"41347_at",10265,"IRX5"
292,"38706_at",1874,"E2F4"
293,"503_at",5441,"POLR2L"
294,"452_at",6599,"SMARCC1"
295,"41625_at",9969,"MED13"
296,"745_at",6919,"TCEA2"
297,"32154_at",7020,"TFAP2A"
298,"33597_at",7691,"ZNF132"
299,"34323_at",9318,"COPS2"
300,"36188_at",2971,"GTF3A"
301,"39897_at",91746,"YTHDC1"
302,"34740_at",2309,"FOXO3"
303,"35221_at",5813,"PURA"
304,"31513_at",10660,"LBX1"
305,"32596_at",5934,"RBL2"
306,"1377_at",4790,"NFKB1"
307,"34966_at",6862,"T"
308,"41229_at",4781,"NFIB"
309,"32573_at",8683,"SRSF9"
310,"35877_at",11166,"SOX21"
311,"932_i_at",7644,"ZNF91"
312,"38944_at",4088,"SMAD3"
313,"31685_at",54738,"FEV"
314,"36111_s_at",6427,"SRSF2"
315,"40662_g_at",8013,"NR4A3"
316,"31983_at",2018,"EMX2"
317,"37264_at",7690,"ZNF131"
318,"40896_at",5451,"POU2F1"
319,"33746_at",11319,"ECD"
320,"37295_at",2961,"GTF2E2"
321,"535_s_at",4791,"NFKB2"
322,"32784_at",8899,"PRPF4B"
323,"40067_at",1997,"ELF1"
324,"31523_f_at",8339,"HIST1H2BG"
325,"39454_f_at",3196,"TLX2"
326,"1754_at",1616,"DAXX"
327,"33539_at",50804,"MYEF2"
328,"36896_s_at",406,"ARNTL"
329,"34195_at",57798,"GATAD1"
330,"39970_at",190,"NR0B1"
331,"39926_at",4090,"SMAD5"
332,"32461_f_at",347344,"ZNF81"
333,"585_at",7520,"XRCC5"
334,"39990_at",3670,"ISL1"
335,"34562_at",10773,"ZBTB6"
336,"32989_at",5989,"RFX1"
337,"37432_g_at",9063,"PIAS2"
338,"33861_at",4848,"CNOT2"
339,"39535_at",3166,"HMX1"
340,"39681_at",7704,"ZBTB16"
341,"1990_g_at",675,"BRCA2"
342,"38527_at",4841,"NONO"
343,"32649_at",6932,"TCF7"
344,"792_s_at",7020,"TFAP2A"
345,"400_at",3651,"PDX1"
346,"36403_s_at",94039,"ZNF101"
347,"40674_s_at",3223,"HOXC6"
348,"37974_at",10943,"MSL3"
349,"1928_s_at",4087,"SMAD2"
350,"36319_at",2295,"FOXF2"
351,"33249_at",4306,"NR3C2"
352,"1156_at",6667,"SP1"
353,"313_at",2957,"GTF2A1"
354,"40606_at",22936,"ELL2"
355,"39415_at",3190,"HNRNPK"
356,"33808_at",7005,"TEAD3"
357,"40397_at",4223,"MEOX2"
358,"34585_at",1746,"DLX2"
359,"1743_s_at",6498,"SKIL"
360,"32396_f_at",2068,"ERCC2"
361,"40268_at",2355,"FOSL2"
362,"160036_at",2103,"ESRRB"
363,"31741_at",5078,"PAX4"
364,"34231_at",11143,"KAT7"
365,"35700_at",1106,"CHD2"
366,"36465_at",3663,"IRF5"
367,"40446_at",5252,"PHF1"
368,"31740_s_at",5078,"PAX4"
369,"31823_at",1523,"CUX1"
370,"34217_at",8609,"KLF7"
371,"35749_at",10474,"TADA3"
372,"1912_s_at",324,"APC"
373,"31702_at",3344,"FOXN2"
374,"38828_s_at",8570,"KHSRP"
375,"37433_at",9063,"PIAS2"
376,"39578_at",55806,"HR"
377,"41050_at",6877,"TAF5"
378,"35319_at",10664,"CTCF"
379,"40327_at",10481,"HOXB13"
380,"36098_at",6426,"SRSF1"
381,"32621_at",1810,"DR1"
382,"40411_at",23054,"NCOA6"
383,"39561_at",23466,"CBX6"
384,"32588_s_at",678,"ZFP36L2"
385,"32809_at",7572,"ZNF24"
386,"39184_at",6923,"TCEB2"
387,"39943_at",4999,"ORC2"
388,"35488_at",6617,"SNAPC1"
389,"31729_at",6884,"TAF13"
390,"39257_at",11278,"KLF12"
391,"507_s_at",1998,"ELF2"
392,"37753_at",6602,"SMARCD1"
393,"1474_s_at",4602,"MYB"
394,"35960_at",3551,"IKBKB"
395,"37710_at",4208,"MEF2C"
396,"41312_r_at",2063,"NR2F6"
397,"324_f_at",689,"BTF3"
398,"41515_at",5931,"RBBP7"
399,"1714_at",6239,"RREB1"
400,"39555_at",3622,"ING2"
401,"445_at",4824,"NKX3-1"
402,"2084_s_at",2118,"ETV4"
403,"39756_g_at",7494,"XBP1"
404,"41425_at",2313,"FLI1"
405,"32050_r_at",6924,"TCEB3"
406,"35690_s_at",4784,"NFIX"
407,"35312_at",4171,"MCM2"
408,"36937_s_at",9124,"PDLIM1"
409,"41571_at",5966,"REL"
410,"40355_at",11169,"WDHD1"
411,"871_s_at",3131,"HLF"
412,"38016_at",3184,"HNRNPD"
413,"643_at",8431,"NR0B2"
414,"34586_s_at",1746,"DLX2"
415,"41037_at",7004,"TEAD4"
416,"39698_at",84525,"HOPX"
417,"160043_at",4603,"MYBL1"
418,"34178_at",9278,"ZBTB22"
419,"32364_at",4990,"SIX6"
420,"41112_at",26048,"ZNF500"
421,"32400_at",4298,"MLLT1"
422,"41822_at",25799,"ZNF324"
423,"2046_at",2078,"ERG"
424,"38569_at",4899,"NRF1"
425,"41103_at",7862,"BRPF1"
426,"33859_at",10284,"SAP18"
427,"32271_at",8061,"FOSL1"
428,"36456_at",26009,"ZZZ3"
429,"35200_at",8091,"HMGA2"
430,"41388_at",4212,"MEIS2"
431,"34320_at",284119,"PTRF"
432,"203_at",2624,"GATA2"
433,"40061_at",5326,"PLAGL2"
434,"40516_at",196,"AHR"
435,"190_at",8013,"NR4A3"
436,"31845_at",2000,"ELF4"
437,"41275_at",1875,"E2F5"
438,"39676_at",4618,"MYF6"
439,"465_at",10524,"KAT5"
440,"41511_at",4261,"CIITA"
441,"34750_r_at",22890,"ZBTB1"
442,"39705_at",23309,"SIN3B"
443,"41612_at",9422,"ZNF264"
444,"316_g_at",7799,"PRDM2"
445,"169_at",1044,"CDX1"
446,"570_at",5971,"RELB"
447,"41175_at",865,"CBFB"
448,"41572_r_at",5966,"REL"
449,"37353_g_at",6672,"SP100"
450,"33159_at",4901,"NRL"
451,"2093_s_at",7520,"XRCC5"
452,"39664_at",1161,"ERCC8"
453,"35368_at",7756,"ZNF207"
454,"131_at",6882,"TAF11"
455,"35681_r_at",9839,"ZEB2"
456,"670_s_at",9586,"CREB5"
457,"1854_at",4605,"MYBL2"
458,"33952_at",80317,"ZKSCAN3"
459,"696_at",3234,"HOXD8"
460,"39954_r_at",9831,"ZNF623"
461,"32443_at",7712,"ZNF157"
462,"506_s_at",6776,"STAT5A"
463,"35463_at",8820,"HESX1"
