,"PROBEID","ENTREZID","SYMBOL"
739,"38662_at",5610,"EIF2AK2"
740,"1907_at",5933,"RBL1"
741,"37926_at",688,"KLF5"
742,"40945_at",8462,"KLF11"
743,"1635_at",25,"ABL1"
744,"32628_at",7716,"VEZF1"
745,"36770_at",6773,"STAT2"
746,"32610_at",8572,"PDLIM4"
747,"40777_at",1499,"CTNNB1"
748,"32073_at",9682,"KDM4A"
749,"33532_at",8092,"ALX1"
750,"41276_at",10284,"SAP18"
751,"35073_at",6473,"SHOX"
752,"37018_at",3006,"HIST1H1C"
753,"41436_at",7750,"ZMYM2"
754,"36239_at",5450,"POU2AF1"
755,"32936_at",7592,"ZNF41"
756,"32565_at",6604,"SMARCD3"
757,"1981_s_at",4149,"MAX"
758,"2035_s_at",2023,"ENO1"
759,"40597_g_at",6949,"TCOF1"
760,"40176_at",5987,"TRIM27"
761,"39746_at",5431,"POLR2B"
762,"32088_at",8548,"BLZF1"
763,"713_at",4149,"MAX"
764,"36412_s_at",3665,"IRF7"
765,"1974_s_at",7157,"TP53"
766,"37469_at",9735,"KNTC1"
767,"1008_f_at",5610,"EIF2AK2"
768,"36446_s_at",3068,"HDGF"
769,"41401_at",1466,"CSRP2"
770,"40084_at",7024,"TFCP2"
771,"34502_g_at",860,"RUNX2"
772,"32928_at",25833,"POU2F3"
773,"32575_at",4676,"NAP1L4"
774,"36308_at",7545,"ZIC1"
775,"448_s_at",4221,"MEN1"
776,"38011_at",8725,"URI1"
777,"35487_at",676,"BRDT"
778,"40416_at",6598,"SMARCB1"
779,"37026_at",1316,"KLF6"
780,"137_at",10661,"KLF1"
781,"39137_at",4798,"NFRKB"
782,"141_s_at",2972,"BRF1"
783,"41030_at",2302,"FOXJ1"
784,"37369_s_at",4776,"NFATC4"
785,"34690_at",6601,"SMARCC2"
786,"825_at",8899,"PRPF4B"
787,"41360_at",9337,"CNOT8"
788,"1908_at",2117,"ETV3"
789,"40529_at",9355,"LHX2"
790,"40844_at",9646,"CTR9"
791,"891_at",7528,"YY1"
792,"1244_at",6773,"STAT2"
793,"37636_at",9767,"PHF16"
794,"33306_at",7572,"ZNF24"
795,"1500_at",7490,"WT1"
796,"32653_at",10902,"BRD8"
797,"41611_at",9325,"TRIP4"
798,"38405_at",8087,"FXR1"
799,"36460_at",9533,"POLR1C"
800,"32480_at",3221,"HOXC4"
801,"34569_at",6664,"SOX11"
802,"38216_at",221037,"JMJD1C"
803,"1643_g_at",9112,"MTA1"
804,"31364_i_at",10725,"NFAT5"
805,"40418_at",5928,"RBBP4"
806,"34694_at",6603,"SMARCD2"
807,"33655_f_at",6757,"SSX2"
808,"31808_at",54556,"ING3"
809,"38249_at",51442,"VGLL1"
810,"36634_at",7832,"BTG2"
811,"33543_s_at",5411,"PNN"
812,"35672_at",25909,"AHCTF1"
813,"32587_at",678,"ZFP36L2"
814,"371_at",3661,"IRF3"
815,"37500_at",7728,"ZNF175"
816,"38302_at",7753,"ZNF202"
817,"33752_at",10625,"IVNS1ABP"
818,"38771_at",3065,"HDAC1"
819,"37349_r_at",9324,"HMGN3"
820,"39359_s_at",9612,"NCOR2"
821,"41626_at",8914,"TIMELESS"
822,"35685_at",6015,"RING1"
823,"289_at",6774,"STAT3"
824,"34620_at",5079,"PAX5"
825,"31707_at",7556,"ZNF10"
826,"508_at",6827,"SUPT4H1"
827,"37352_at",6672,"SP100"
828,"37144_at",51588,"PIAS4"
829,"35203_at",23522,"KAT6B"
830,"34950_at",23090,"ZNF423"
831,"40148_at",323,"APBB2"
832,"39895_r_at",23774,"BRD1"
833,"35559_at",6097,"RORC"
834,"479_at",1601,"DAB2"
835,"35866_at",10795,"ZNF268"
836,"38134_at",5324,"PLAG1"
837,"979_g_at",604,"BCL6"
838,"40262_at",10929,"SRSF8"
839,"41367_at",3174,"HNF4G"
840,"38455_at",6628,"SNRPB"
841,"41466_s_at",7707,"ZNF148"
842,"38146_at",9705,"ST18"
843,"41399_at",23133,"PHF8"
844,"1656_s_at",25,"ABL1"
845,"1639_s_at",1875,"E2F5"
846,"1748_s_at",10661,"KLF1"
847,"32265_at",3164,"NR4A1"
848,"39704_s_at",3159,"HMGA1"
849,"1288_s_at",1915,"EEF1A1"
850,"40561_at",3196,"TLX2"
851,"1636_g_at",25,"ABL1"
852,"36295_at",7693,"ZNF134"
853,"41393_at",7748,"ZNF195"
854,"39551_at",51317,"PHF21A"
855,"31354_r_at",2304,"FOXE1"
856,"36200_at",10919,"EHMT2"
857,"37370_i_at",4776,"NFATC4"
858,"31820_at",3059,"HCLS1"
859,"37763_at",6257,"RXRB"
860,"34368_at",3066,"HDAC2"
861,"31640_r_at",6656,"SOX1"
862,"472_at",6777,"STAT5B"
863,"39871_at",27288,"RBMXL2"
864,"41361_at",9337,"CNOT8"
865,"35562_at",8970,"HIST1H2BJ"
866,"33606_g_at",4821,"NKX2-2"
867,"34671_at",10623,"POLR3C"
868,"37544_at",4783,"NFIL3"
869,"37567_at",6297,"SALL2"
870,"38084_at",11335,"CBX3"
871,"34013_f_at",5449,"POU1F1"
872,"35008_at",8864,"PER2"
873,"32184_at",4005,"LMO2"
874,"32194_at",10153,"CEBPZ"
875,"2013_at",7029,"TFDP2"
876,"1242_at",2077,"ERF"
877,"40358_at",2737,"GLI3"
878,"37564_at",25988,"HINFP"
879,"33275_at",2002,"ELK1"
880,"35434_at",4209,"MEF2D"
881,"35967_at",405,"ARNT"
882,"789_at",1958,"EGR1"
883,"37483_at",9734,"HDAC9"
884,"33339_g_at",6772,"STAT1"
885,"32712_at",23040,"MYT1L"
886,"32493_at",7008,"TEF"
887,"36326_at",4808,"NHLH2"
888,"37368_at",4776,"NFATC4"
889,"32970_f_at",22927,"HABP4"
890,"1764_s_at",4150,"MAZ"
891,"36005_at",11129,"CLASRP"
892,"38439_at",4779,"NFE2L1"
893,"34325_at",10084,"PQBP1"
894,"31353_f_at",2304,"FOXE1"
895,"38938_at",10716,"TBR1"
896,"40700_at",11262,"SP140"
897,"AFFX-HUMISGF3A/M97935_MA_at",6772,"STAT1"
898,"39977_at",27107,"ZBTB11"
899,"41077_at",643641,"ZNF862"
900,"34497_at",9014,"TAF1B"
901,"551_at",2033,"EP300"
902,"39747_at",5436,"POLR2G"
903,"35432_at",10001,"MED6"
904,"39112_at",7392,"USF2"
905,"34065_at",9480,"ONECUT2"
906,"37094_at",7517,"XRCC3"
907,"864_at",3110,"MNX1"
908,"32048_at",100506963,"LOC100506963"
909,"33407_at",22982,"DIP2C"
910,"478_g_at",3663,"IRF5"
911,"34920_at",326,"AIRE"
912,"35671_at",2975,"GTF3C1"
913,"40399_r_at",4223,"MEOX2"
914,"38518_at",10389,"SCML2"
915,"38185_at",5076,"PAX2"
916,"933_f_at",7644,"ZNF91"
917,"38707_r_at",1874,"E2F4"
918,"36303_f_at",7639,"ZNF85"
919,"40199_at",4487,"MSX1"
920,"31929_at",5991,"RFX3"
921,"36226_r_at",NA,NA
922,"33248_at",3207,"HOXA11"
923,"39397_at",7026,"NR2F2"
924,"37757_at",7027,"TFDP1"
925,"38640_at",51042,"ZNF593"
926,"1316_at",7067,"THRA"
927,"41231_f_at",3151,"HMGN2"
928,"36000_at",1388,"ATF6B"
929,"32654_g_at",10902,"BRD8"
930,"1381_at",5915,"RARB"
931,"37789_at",6871,"TADA2A"
932,"36476_at",10902,"BRD8"
933,"130_s_at",7080,"NKX2-1"
934,"39117_at",5253,"PHF2"
935,"32397_r_at",2068,"ERCC2"
936,"37767_at",3064,"HTT"
937,"38310_at",4849,"CNOT3"
938,"32884_at",51230,"PHF20"
939,"34300_at",23598,"PATZ1"
940,"38576_at",3017,"HIST1H2BD"
941,"33511_at",7634,"ZNF80"
942,"31437_r_at",2100,"ESR2"
943,"31943_g_at",7289,"TULP3"
944,"41338_at",166,"AES"
945,"1473_s_at",4602,"MYB"
946,"32354_at",64067,"NPAS3"
947,"31944_at",7289,"TULP3"
948,"36860_at",23211,"ZC3H4"
949,"32883_at",90338,"ZNF160"
950,"38094_at",3182,"HNRNPAB"
951,"37250_at",26292,"MYCBP"
952,"37082_at",9753,"ZSCAN12"
953,"929_at",5465,"PPARA"
954,"38918_at",9580,"SOX13"
955,"34815_at",57634,"EP400"
956,"31895_at",571,"BACH1"
957,"39152_f_at",8161,"COIL"
958,"31791_at",8626,"TP63"
959,"1993_s_at",672,"BRCA1"
960,"37882_at",2960,"GTF2E1"
961,"37043_at",3399,"ID3"
962,"34547_at",11189,"CELF3"
963,"40944_at",8462,"KLF11"
964,"38438_at",4790,"NFKB1"
965,"41441_at",6908,"TBP"
966,"39963_at",387032,"ZKSCAN4"
967,"34543_at",4084,"MXD1"
968,"38721_at",57658,"CALCOCO1"
969,"1916_s_at",2353,"FOS"
970,"1885_at",2071,"ERCC3"
971,"40412_at",9232,"PTTG1"
972,"AFFX-HUMISGF3A/M97935_3_at",6772,"STAT1"
973,"40560_at",6909,"TBX2"
974,"35940_at",5457,"POU4F1"
975,"1072_g_at",2624,"GATA2"
976,"40837_at",7089,"TLE2"
977,"34994_at",54014,"BRWD1"
978,"41537_r_at",4784,"NFIX"
979,"35146_at",7041,"TGFB1I1"
980,"35826_at",6829,"SUPT5H"
981,"38573_at",10138,"YAF2"
982,"36402_at",94039,"ZNF101"
983,"31861_at",3508,"IGHMBP2"
984,"31933_r_at",689,"BTF3"
985,"31570_at",6492,"SIM1"
986,"350_at",7716,"VEZF1"
987,"906_at",6775,"STAT4"
988,"32967_at",9214,"FAIM3"
989,"37626_at",3662,"IRF4"
990,"40259_at",23543,"RBFOX2"
991,"37393_at",3280,"HES1"
992,"41732_at",552900,"BOLA2"
993,"41091_at",2186,"BPTF"
994,"280_g_at",3164,"NR4A1"
995,"39713_at",10765,"KDM5B"
996,"35430_at",10001,"MED6"
997,"1149_at",7942,"TFEB"
998,"1668_s_at",7428,"VHL"
999,"39243_s_at",11168,"PSIP1"
1000,"1048_at",6258,"RXRG"
1001,"477_at",3663,"IRF5"
1002,"41737_at",10250,"SRRM1"
1003,"34172_s_at",8227,"AKAP17A"
1004,"37010_at",2958,"GTF2A2"
1005,"36370_at",2304,"FOXE1"
1006,"41622_r_at",10781,"ZNF266"
1007,"38519_at",9971,"NR1H4"
1008,"35777_at",6047,"RNF4"
1009,"40818_at",3516,"RBPJ"
1010,"35639_at",862,"RUNX1T1"
1011,"39688_at",5977,"DPF2"
1012,"33130_at",3231,"HOXD1"
1013,"34282_at",9603,"NFE2L3"
1014,"39438_at",1389,"CREBL2"
1015,"36392_at",7694,"ZNF135"
1016,"524_at",5378,"PMS1"
1017,"1487_at",2101,"ESRRA"
1018,"36353_at",54626,"HES2"
1019,"40822_at",4775,"NFATC3"
1020,"1703_g_at",1874,"E2F4"
1021,"38224_at",6619,"SNAPC3"
1022,"37254_at",7692,"ZNF133"
1023,"34716_at",10772,"SRSF10"
1024,"39800_s_at",10456,"HAX1"
1025,"35933_f_at",5387,"PMS2P3"
1026,"38271_at",9759,"HDAC4"
1027,"34395_at",9925,"ZBTB5"
1028,"33343_at",9604,"RNF14"
1029,"32583_at",3725,"JUN"
1030,"33542_at",140883,"ZNF280B"
1031,"34196_at",57798,"GATAD1"
1032,"38205_at",4761,"NEUROD2"
1033,"31365_f_at",10725,"NFAT5"
1034,"33773_at",8028,"MLLT10"
1035,"36347_f_at",8341,"HIST1H2BN"
1036,"38478_at",6433,"SFSWAP"
1037,"32340_s_at",4904,"YBX1"
1038,"35431_g_at",10001,"MED6"
1039,"32668_at",23635,"SSBP2"
1040,"40845_at",3609,"ILF3"
1041,"36010_at",4222,"MEOX1"
1042,"38843_at",10042,"HMGXB4"
1043,"33157_at",3642,"INSM1"
1044,"32706_at",7290,"HIRA"
1045,"31942_at",7289,"TULP3"
1046,"40642_at",4781,"NFIB"
1047,"39755_at",7494,"XBP1"
1048,"1325_at",4086,"SMAD1"
1049,"32223_at",10147,"SUGP2"
1050,"39731_at",26787,"SNORD61"
1051,"36866_at",56311,"ANKRD7"
1052,"38092_at",2034,"EPAS1"
1053,"33268_at",8242,"KDM5C"
1054,"38085_at",11335,"CBX3"
1055,"250_at",4775,"NFATC3"
1056,"36761_at",58495,"OVOL2"
1057,"36244_at",8187,"ZNF239"
1058,"35737_at",10473,"HMGN4"
1059,"943_at",861,"RUNX1"
1060,"31355_at",430,"ASCL2"
1061,"40528_at",9355,"LHX2"
1062,"41277_at",10284,"SAP18"
1063,"37348_s_at",9324,"HMGN3"
1064,"38517_at",10379,"IRF9"
1065,"34818_at",2119,"ETV5"
1066,"41702_r_at",10621,"POLR3F"
1067,"40313_at",646,"BNC1"
1068,"33754_at",7080,"NKX2-1"
1069,"38496_at",2005,"ELK4"
1070,"32064_at",5469,"MED1"
1071,"1617_at",7706,"TRIM25"
1072,"1219_at",3660,"IRF2"
1073,"764_s_at",9575,"CLOCK"
1074,"38293_s_at",3232,"HOXD3"
1075,"40713_at",10725,"NFAT5"
1076,"39782_at",10438,"C1D"
1077,"145_s_at",6910,"TBX5"
1078,"40303_at",7022,"TFAP2C"
1079,"31366_at",10002,"NR2E3"
1080,"38345_at",11064,"CNTRL"
1081,"170_at",1045,"CDX2"
1082,"40124_at",8607,"RUVBL1"
1083,"33869_at",6777,"STAT5B"
1084,"39037_at",4299,"AFF1"
1085,"35939_s_at",5457,"POU4F1"
1086,"40542_at",429,"ASCL1"
1087,"41311_f_at",2063,"NR2F6"
1088,"37873_g_at",8629,"JRK"
1089,"36072_at",7743,"ZNF189"
1090,"41543_at",3899,"AFF3"
1091,"37141_at",3169,"FOXA1"
1092,"34639_at",6927,"HNF1A"
1093,"36829_at",5187,"PER1"
1094,"37527_at",2004,"ELK3"
1095,"32155_at",7020,"TFAP2A"
1096,"1475_s_at",4602,"MYB"
1097,"1071_at",2624,"GATA2"
1098,"39404_s_at",5976,"UPF1"
1099,"34215_at",8227,"AKAP17A"
1100,"40902_at",11059,"WWP1"
1101,"31839_at",57794,"SUGP1"
1102,"36099_at",6426,"SRSF1"
1103,"33288_i_at",10127,"ZNF263"
1104,"35006_at",9015,"TAF1A"
1105,"37627_g_at",3662,"IRF4"
1106,"38902_r_at",1386,"ATF2"
1107,"32858_at",29855,"UBN1"
1108,"36004_at",8517,"IKBKG"
1109,"34394_at",23394,"ADNP"
1110,"39725_at",9584,"RBM39"
1111,"35145_at",4335,"MNT"
1112,"31755_at",2020,"EN2"
1113,"36630_at",1831,"TSC22D3"
1114,"33778_at",25771,"TBC1D22A"
1115,"38295_at",5089,"PBX2"
1116,"41632_at",1871,"E2F3"
1117,"39953_i_at",9831,"ZNF623"
1118,"33432_at",112950,"MED8"
1119,"877_at",1385,"CREB1"
1120,"36175_s_at",3097,"HIVEP2"
1121,"38234_at",7090,"TLE3"
1122,"519_g_at",7376,"NR1H2"
1123,"39174_at",8031,"NCOA4"
1124,"518_at",7376,"NR1H2"
1125,"580_at",3008,"HIST1H1E"
1126,"460_at",5316,"PKNOX1"
1127,"40476_s_at",3607,"FOXK2"
1128,"39294_at",7025,"NR2F1"
1129,"40213_at",6594,"SMARCA1"
1130,"41508_at",1961,"EGR4"
1131,"38374_at",7071,"KLF10"
1132,"160042_s_at",3216,"HOXB6"
1133,"380_at",6910,"TBX5"
1134,"36189_at",3608,"ILF2"
1135,"1428_at",7068,"THRB"
1136,"32202_at",10616,"RBCK1"
1137,"638_at",8091,"HMGA2"
1138,"38805_at",7050,"TGIF1"
1139,"35455_i_at",10168,"ZNF197"
1140,"35825_s_at",10472,"ZBTB18"
1141,"1994_at",1386,"ATF2"
1142,"40638_at",6421,"SFPQ"
1143,"38542_at",4869,"NPM1"
1144,"1453_at",4087,"SMAD2"
1145,"38740_at",677,"ZFP36L1"
1146,"1461_at",4792,"NFKBIA"
1147,"32597_at",5934,"RBL2"
1148,"33210_at",7528,"YY1"
1149,"33425_at",10155,"TRIM28"
1150,"38184_at",5076,"PAX2"
1151,"34058_at",7700,"ZNF141"
1152,"35504_at",8289,"ARID1A"
1153,"1052_s_at",1052,"CEBPD"
1154,"36616_at",9802,"DAZAP2"
1155,"41847_at",9214,"FAIM3"
1156,"41495_at",58487,"CREBZF"
1157,"40631_at",10140,"TOB1"
1158,"31440_at",6932,"TCF7"
1159,"32203_at",10616,"RBCK1"
1160,"33794_g_at",6942,"TCF20"
1161,"34724_at",2909,"ARHGAP35"
1162,"1012_at",8850,"KAT2B"
1163,"38988_at",7468,"WHSC1"
1164,"31624_at",257,"ALX3"
1165,"40448_at",7538,"ZFP36"
1166,"40537_at",9669,"EIF5B"
1167,"32558_at",10401,"PIAS3"
1168,"33724_at",672,"BRCA1"
1169,"393_s_at",861,"RUNX1"
1170,"38165_s_at",8085,"KMT2D"
1171,"37380_at",2959,"GTF2B"
1172,"36825_at",10346,"TRIM22"
1173,"41659_at",6830,"SUPT6H"
1174,"39909_g_at",10629,"TAF6L"
1175,"37682_r_at",9782,"MATR3"
1176,"1295_at",5970,"RELA"
1177,"37417_at",5452,"POU2F2"
1178,"31544_at",2299,"FOXI1"
1179,"39622_at",8521,"GCM1"
1180,"35160_at",8861,"LDB1"
1181,"38284_at",9757,"KMT2B"
1182,"104_at",5463,"POU6F1"
1183,"38766_at",10847,"SRCAP"
1184,"36418_at",4007,"PRICKLE3"
1185,"32261_at",9031,"BAZ1B"
1186,"35020_at",8929,"PHOX2B"
1187,"112_g_at",6872,"TAF1"
1188,"38931_at",7543,"ZFX"
1189,"35409_r_at",51710,"ZNF44"
1190,"35439_at",7536,"SF1"
1191,"39076_s_at",10589,"DRAP1"
1192,"401_s_at",3131,"HLF"
1193,"37623_at",4929,"NR4A2"
1194,"35555_r_at",7546,"ZIC2"
1195,"37776_at",10745,"PHTF1"
1196,"1218_at",2063,"NR2F6"
1197,"40641_at",9044,"BTAF1"
1198,"33289_f_at",10127,"ZNF263"
1199,"1243_at",1643,"DDB2"
1200,"33905_at",8932,"MBD2"
1201,"38028_at",55885,"LMO3"
1202,"315_at",7799,"PRDM2"
1203,"35618_at",9931,"HELZ"
1204,"35311_at",8804,"CREG1"
1205,"36714_at",7182,"NR2C2"
1206,"1900_at",5925,"RB1"
1207,"36423_at",26471,"NUPR1"
1208,"33572_at",7718,"ZNF165"
1209,"34544_at",10308,"ZNF267"
1210,"743_at",4675,"NAP1L3"
1211,"40980_at",57680,"CHD8"
1212,"37106_at",6940,"ZNF354A"
1213,"33348_at",6938,"TCF12"
1214,"37212_at",6668,"SP2"
1215,"41337_at",166,"AES"
1216,"41599_at",2627,"GATA6"
1217,"41747_s_at",4205,"MEF2A"
1218,"36080_at",9575,"CLOCK"
1219,"31801_at",7110,"TMF1"
1220,"41526_at",10362,"HMG20B"
1221,"40196_at",10217,"CTDSPL"
1222,"32841_at",7555,"CNBP"
1223,"1013_at",4090,"SMAD5"
1224,"34221_at",22993,"HMGXB3"
1225,"2078_s_at",4613,"MYCN"
1226,"1915_s_at",2353,"FOS"
1227,"1977_s_at",2113,"ETS1"
1228,"41320_s_at",9208,"LRRFIP1"
1229,"456_at",6604,"SMARCD3"
1230,"38900_at",5077,"PAX3"
1231,"32038_s_at",10929,"SRSF8"
1232,"39549_at",4862,"NPAS2"
1233,"39148_s_at",546,"ATRX"
1234,"33220_at",7741,"ZSCAN26"
1235,"105_at",9970,"NR1I3"
1236,"36629_at",1831,"TSC22D3"
1237,"33344_at",9282,"MED14"
1238,"38882_r_at",10626,"TRIM16"
1239,"34328_s_at",6596,"HLTF"
1240,"654_at",4601,"MXI1"
1241,"32034_at",7764,"ZNF217"
1242,"41787_at",9819,"TSC22D2"
1243,"560_s_at",6886,"TAL1"
1244,"33675_at",5453,"POU3F1"
1245,"434_at",3005,"H1F0"
1246,"35408_i_at",51710,"ZNF44"
1247,"36768_at",4760,"NEUROD1"
1248,"35064_at",11074,"TRIM31"
1249,"1827_s_at",4609,"MYC"
1250,"40511_at",2625,"GATA3"
1251,"31779_s_at",639,"PRDM1"
1252,"35691_r_at",4784,"NFIX"
1253,"35554_f_at",7546,"ZIC2"
1254,"40570_at",2308,"FOXO1"
1255,"40754_at",2967,"GTF2H3"
1256,"32579_at",6597,"SMARCA4"
1257,"32117_at",26574,"AATF"
1258,"215_g_at",4487,"MSX1"
1259,"1344_at",5077,"PAX3"
1260,"32695_at",27336,"HTATSF1"
1261,"32817_at",23541,"SEC14L2"
1262,"32144_at",5993,"RFX5"
1263,"36073_at",4692,"NDN"
1264,"1147_at",7025,"NR2F1"
1265,"41619_at",3664,"IRF6"
1266,"32192_g_at",7703,"PCGF2"
1267,"35273_at",64210,"MMS19"
1268,"33160_at",4901,"NRL"
1269,"33643_at",4610,"MYCL"
1270,"37245_at",2551,"GABPA"
1271,"33670_at",2099,"ESR1"
1272,"38497_at",2005,"ELK4"
1273,"40121_at",3093,"UBE2K"
1274,"35657_at",6895,"TARBP2"
1275,"484_at",8648,"NCOA1"
1276,"38648_at",171017,"ZNF384"
1277,"40458_at",6776,"STAT5A"
1278,"37269_at",8216,"LZTR1"
1279,"1406_at",7181,"NR2C1"
1280,"802_at",6883,"TAF12"
1281,"2048_s_at",7068,"THRB"
1282,"37247_at",6943,"TCF21"
1283,"37390_at",9785,"DHX38"
1284,"33131_at",6659,"SOX4"
1285,"39944_at",7584,"ZNF35"
1286,"1986_at",5934,"RBL2"
1287,"38824_at",10553,"HTATIP2"
1288,"40992_s_at",8819,"SAP30"
1289,"1638_at",2120,"ETV6"
1290,"37266_at",7580,"ZNF32"
1291,"1796_s_at",602,"BCL3"
1292,"32950_at",11281,"POU6F2"
1293,"33570_at",1482,"NKX2-5"
1294,"33795_at",6942,"TCF20"
1295,"39231_at",1105,"CHD1"
1296,"31618_at",7157,"TP53"
1297,"33558_at",6910,"TBX5"
1298,"32135_at",6720,"SREBF1"
1299,"41204_s_at",7536,"SF1"
1300,"34605_at",11016,"ATF7"
1301,"35976_at",4435,"CITED1"
1302,"33688_at",2637,"GBX2"
1303,"31843_at",2104,"ESRRG"
1304,"37292_at",9794,"MAML1"
1305,"37083_s_at",9753,"ZSCAN12"
1306,"40494_at",9191,"DEDD"
1307,"37179_at",4778,"NFE2"
1308,"422_s_at",4149,"MAX"
1309,"36645_at",5970,"RELA"
1310,"34647_at",1655,"DDX5"
1311,"39461_s_at",57680,"CHD8"
1312,"40085_s_at",7024,"TFCP2"
1313,"34968_at",22847,"ZNF507"
1314,"38288_at",6591,"SNAI2"
1315,"35433_s_at",324,"APC"
1316,"31348_at",NA,NA
1317,"36383_at",2078,"ERG"
1318,"31853_at",8726,"EED"
1319,"36281_at",4807,"NHLH1"
1320,"38183_at",2294,"FOXF1"
1321,"40106_at",11100,"HNRNPUL1"
1322,"351_f_at",6428,"SRSF3"
1323,"38083_at",4853,"NOTCH2"
1324,"37418_at",5452,"POU2F2"
1325,"913_at",2078,"ERG"
1326,"33592_at",51043,"ZBTB7B"
1327,"36742_at",89870,"TRIM15"
1328,"36869_at",7849,"PAX8"
1329,"37724_at",4609,"MYC"
1330,"2028_s_at",1869,"E2F1"
1331,"41146_at",142,"PARP1"
1332,"38450_at",6741,"SSB"
1333,"31457_at",2306,"FOXD2"
1334,"33577_at",3199,"HOXA2"
1335,"40477_r_at",3607,"FOXK2"
1336,"1452_at",8543,"LMO4"
1337,"AFFX-HUMISGF3A/M97935_5_at",6772,"STAT1"
1338,"38186_g_at",5076,"PAX2"
1339,"1587_at",5916,"RARG"
1340,"37396_at",8625,"RFXANK"
1341,"2001_g_at",472,"ATM"
1342,"33482_at",4654,"MYOD1"
1343,"33484_at",6045,"RNF2"
1344,"35029_at",11074,"TRIM31"
1345,"41566_at",6939,"TCF15"
1346,"40987_at",7421,"VDR"
1347,"40117_at",4175,"MCM6"
1348,"33865_at",10771,"ZMYND11"
1349,"32259_at",2145,"EZH1"
1350,"41448_at",3206,"HOXA10"
1351,"34044_at",11077,"HSF2BP"
1352,"34640_at",6927,"HNF1A"
1353,"39779_at",6894,"TARBP1"
1354,"39708_at",6774,"STAT3"
1355,"1578_g_at",367,"AR"
1356,"33381_at",8202,"NCOA3"
1357,"1124_at",4297,"KMT2A"
1358,"38713_at",6721,"SREBF2"
1359,"1410_at",7421,"VDR"
1360,"36693_at",2140,"EYA3"
1361,"40734_r_at",4488,"MSX2"
1362,"40620_at",5074,"PAWR"
1363,"33653_at",4617,"MYF5"
1364,"39605_at",2290,"FOXG1"
1365,"36410_f_at",1993,"ELAVL2"
1366,"35186_at",27097,"TAF5L"
1367,"38633_at",9112,"MTA1"
1368,"37994_at",2332,"FMR1"
1369,"840_at",7994,"KAT6A"
1370,"37711_at",4208,"MEF2C"
1371,"36605_at",6925,"TCF4"
1372,"37271_at",6878,"TAF6"
1373,"530_at",4796,"TONSL"
1374,"40810_at",6599,"SMARCC1"
1375,"34125_at",7101,"NR2E1"
1376,"41484_r_at",3727,"JUND"
1377,"40970_at",5994,"RFXAP"
1378,"31890_s_at",7702,"ZNF143"
1379,"41708_at",23314,"SATB2"
1380,"33109_f_at",6657,"SOX2"
1381,"36031_at",3621,"ING1"
1382,"36723_at",3172,"HNF4A"
1383,"39069_at",165,"AEBP1"
1384,"545_g_at",4791,"NFKB2"
1385,"31462_f_at",6758,"SSX5"
1386,"35638_at",862,"RUNX1T1"
1387,"36619_r_at",3397,"ID1"
1388,"39426_at",10915,"TCERG1"
1389,"704_at",4774,"NFIA"
1390,"1070_at",2959,"GTF2B"
1391,"40531_at",6658,"SOX3"
1392,"41499_at",6497,"SKI"
1393,"453_at",6601,"SMARCC2"
1394,"160021_r_at",5241,"PGR"
1395,"34501_at",860,"RUNX2"
1396,"41344_s_at",5813,"PURA"
1397,"40220_at",10614,"HEXIM1"
1398,"248_at",9318,"COPS2"
1399,"34816_at",57634,"EP400"
1400,"33226_at",23030,"KDM4B"
1401,"41852_at",6018,"RLF"
1402,"1322_at",1869,"E2F1"
1403,"435_g_at",3005,"H1F0"
1404,"35139_at",57209,"ZNF248"
1405,"31913_at",2001,"ELF5"
1406,"869_at",2958,"GTF2A2"
1407,"1865_at",6498,"SKIL"
1408,"37505_at",8431,"NR0B2"
1409,"33115_at",3223,"HOXC6"
1410,"37620_at",6883,"TAF12"
1411,"38065_at",3148,"HMGB2"
1412,"40906_at",146542,"ZNF688"
1413,"35809_g_at",6431,"SRSF6"
1414,"31532_at",2122,"MECOM"
1415,"40044_at",8178,"ELL"
1416,"41412_at",27254,"CSDC2"
1417,"40724_at",7752,"ZNF200"
1418,"35377_at",26145,"IRF2BP1"
1419,"41310_f_at",2063,"NR2F6"
1420,"36238_at",4303,"FOXO4"
1421,"37535_at",1385,"CREB1"
1422,"35931_at",7554,"ZNF8"
1423,"36003_at",5073,"PARN"
1424,"1374_g_at",6929,"TCF3"
1425,"32188_at",4661,"MYT1"
1426,"1399_at",6921,"TCEB1"
1427,"1904_at",26292,"MYCBP"
1428,"35614_at",10732,"TCFL5"
1429,"36901_at",7110,"TMF1"
1430,"35477_at",7633,"ZNF79"
1431,"1388_g_at",7421,"VDR"
1432,"36822_at",8148,"TAF15"
1433,"40887_g_at",1915,"EEF1A1"
1434,"38939_r_at",10716,"TBR1"
1435,"37312_at",9792,"SERTAD2"
1436,"35370_at",9913,"SUPT7L"
1437,"41014_s_at",5308,"PITX2"
1438,"41567_at",6939,"TCF15"
1439,"35047_at",5990,"RFX2"
1440,"38876_at",140462,"ASB9"
1441,"39256_at",11278,"KLF12"
1442,"476_s_at",3065,"HDAC1"
1443,"36027_at",5435,"POLR2F"
1444,"35452_at",54581,"SCAND2P"
1445,"39494_at",2966,"GTF2H2"
1446,"33316_at",9760,"TOX"
1447,"39948_at",4149,"MAX"
1448,"32024_at",202559,"KHDRBS2"
1449,"31436_s_at",2100,"ESR2"
1450,"37915_at",29994,"BAZ2B"
1451,"38015_at",NA,NA
